,Наименование,Тип жилья,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Санузел,Ремонт,Год постройки,Мусоропровод,Тип дома,Тип перекрытий,Подъезды,Отопление,Аварийность,Этаж,Адрес,Цена,Балкон/лоджия,Вид из окон,Количество лифтов,Парковка,Газоснабжение,Строительная серия
52,2-комн. квартира,Вторичка,"68,3","36,3","12,3",,1 раздельный,Без ремонта,2023,,,Нет информации,2,Центральное,Нет,10 из 17,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. улица Бекетова, Светлогорская ул., 6На картеГорьковская6 мин.Московская9 мин.Ленинская10 мин.",8 990 000 ₽,1 балкон,На улицу и двор,"1 пассажирский, 1 грузовой",Подземная,,
53,1-комн. квартира,Вторичка,13,8,3,,1 раздельный,Косметический,1966,,Кирпичный,Железобетонные,3,Центральное,Нет,3 из 5,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Щербинки, Щербинки-1 микрорайон, 15На картеПролетарская11 мин.Автозаводская12 мин.Двигатель Революции13 мин.",2 450 000 ₽,,Во двор,,Наземная,Центральное,
54,2-комн. квартира,Вторичка,"43,3","28,5","5,5","2,5 м",1 совмещенный,Без ремонта,1968,Да,,Нет информации,6,Центральное,Нет,2 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. 6, ул. Веденяпина, 23На карте",3 990 000 ₽,1 балкон,,1 пассажирский,,Центральное,
55,2-комн. квартира,Вторичка,80,30,15,,1 раздельный,Без ремонта,2022,Да,Монолитный,Железобетонные,3,Центральное,Нет,2 из 6,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, Трудовая ул., 5На карте",16 500 000 ₽,1 балкон,,1 пассажирский,,,
56,2-комн. квартира,Вторичка,"61,7","31,1","11,4",,2 раздельных,Косметический,2014,,,Железобетонные,6,Центральное,Нет,8 из 18,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Тобольские казармы, Краснозвездная ул., 35На карте",10 200 000 ₽,1 лоджия,,"1 пассажирский, 1 грузовой",,,
57,2-комн. квартира,Вторичка,"58,7","35,1","9,6",3 м,1 совмещенный,Евроремонт,2019,Да,Монолитный,Железобетонные,1,Центральное,Нет,11 из 18,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Тобольские казармы, Краснозвездная ул., 6На карте",14 200 000 ₽,1 балкон,Во двор,"1 пассажирский, 1 грузовой",,,
58,3-комн. квартира,Вторичка,"56,7","36,5",7,,1 раздельный,Косметический,1975,Да,Панельный,Железобетонные,4,Центральное,Нет,9 из 9,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Кузнечиха, ул. Генерала Штеменко, 9/16На карте",5 990 000 ₽,2 лоджии,,1 пассажирский,,Центральное,
59,3-комн. квартира,Вторичка,57,"39,8",7,,1 раздельный,Евроремонт,1976,,Панельный,Железобетонные,16,Центральное,Нет,5 из 9,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Кузнечиха, ул. Маршала Малиновского, 2На карте",6 500 000 ₽,1 лоджия,,1 пассажирский,,Центральное,
60,1-комн. квартира,Вторичка,"29,8","17,8","5,4",,1 совмещенный,Косметический,1974,,Кирпичный,Железобетонные,1,Центральное,Нет,6 из 9,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. 5-6-7 Сормова, ул. Героев космоса, 32На карте",3 400 000 ₽,,,1 пассажирский,,Центральное,1-447
61,1-комн. квартира,Вторичка,"17,6","7,1","5,5",,1 совмещенный,Косметический,2013,,,Железобетонные,2,Центральное,Нет,5 из 10,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Бурнаковский, Бурнаковская ул., 55На карте",3 500 000 ₽,,,1 пассажирский,,,
